Category,Indicator,ASI,Count
Access regulation,General access regulations,"Avoid, Shift",1
Access regulation,Car access restrictions zones,Avoid,2
Access regulation,Car access restrictions zones,"Avoid, Shift",1
Access regulation,Low emission zones,Avoid,1
Access regulation,Low emission zones,"Avoid, Shift",3
Comprehensive transport planning,General transport planning,Avoid,5
Comprehensive transport planning,General transport planning,"Avoid, Shift",7
Comprehensive transport planning,General transport planning,"Avoid, Shift, Improve",6
Comprehensive transport planning,General transport planning,Improve,1
Comprehensive transport planning,General transport planning,Shift,1
Comprehensive transport planning,General transport planning,"Shift, Improve",4
Comprehensive transport planning,National mobility plans,"Avoid, Shift, Improve",10
Comprehensive transport planning,National mobility plans,Shift,1
Comprehensive transport planning,Sustainable urban mobility plans,"Avoid, Shift",3
Comprehensive transport planning,Sustainable urban mobility plans,"Avoid, Shift, Improve",2
Economic instruments,General economic instruments,"Avoid, Shift",2
Economic instruments,General economic instruments,Improve,1
Economic instruments,General economic instruments,Shift,1
Economic instruments,General economic instruments,"Shift, Improve",1
Economic instruments,Emissions trading and carbon pricing,Avoid,2
Economic instruments,Emissions trading and carbon pricing,"Avoid, Shift",1
Economic instruments,Emissions trading and carbon pricing,"Avoid, Shift, Improve",1
Economic instruments,Feebate,"Avoid, Shift",1
Economic instruments,Financial instruments to support decarbonisation,Avoid,1
Economic instruments,Financial instruments to support decarbonisation,"Avoid, Shift",5
Economic instruments,Financial instruments to support decarbonisation,"Avoid, Shift, Improve",3
Economic instruments,Financial instruments to support decarbonisation,Improve,5
Economic instruments,Financial instruments to support decarbonisation,Shift,1
Economic instruments,Financial instruments to support decarbonisation,"Shift, Improve",2
Economic instruments,Green public procurement,"Avoid, Shift",1
Economic instruments,Green public procurement,Improve,3
Economic instruments,Green public procurement,Shift,1
Economic instruments,Green public procurement,"Shift, Improve",1
Land use,Development density or intensiveness,Avoid,7
Land use,Development density or intensiveness,"Avoid, Shift",1
Land use,Development density or intensiveness,"Avoid, Shift, Improve",1
Land use,General land use,Avoid,6
Land use,General land use,"Avoid, Shift",4
Land use,General land use,"Avoid, Shift, Improve",1
Land use,Mixed uses,Avoid,4
Subsidies,Fossil fuel subsidy removal,Avoid,6
Subsidies,Innovations avoiding freight (e.g. 3Dprinting),"Avoid, Shift",1
Subsidies,Innovations avoiding freight (e.g. 3Dprinting),Improve,1
Subsidies,Innovations avoiding freight (e.g. 3Dprinting),"Shift, Improve",1
Subsidies,General logistic avoid measures,Avoid,3
